COND,Date/Time,Exact Time [ns]
0.0,2025-05-02 16:08:42.280059,3151033437842
0.0,2025-05-02 16:08:43.280599,3152033962582
0.0,2025-05-02 16:08:44.281058,3153034421859
0.0,2025-05-02 16:08:45.281516,3154034880285
0.0,2025-05-02 16:08:46.281958,3155035322266
0.0,2025-05-02 16:08:47.282397,3156035761228
0.0,2025-05-02 16:08:48.282850,3157036215116
0.0,2025-05-02 16:08:49.283293,3158036657319
0.0,2025-05-02 16:08:50.283735,3159037099671
0.0,2025-05-02 16:08:51.284167,3160037531966
0.0,2025-05-02 16:08:52.284600,3161037963614
0.0,2025-05-02 16:08:53.285030,3162038393558
0.0,2025-05-02 16:08:54.285469,3163038832798
0.0,2025-05-02 16:08:55.285904,3164039267501
0.0,2025-05-02 16:08:56.286328,3165039690593
